"Path","Status","PrototypeBytes","RetailBytes","PrototypeSHA256","RetailSHA256"
"DATA/LOCMP/MP2.TRK","Changed","3907584","3883008","69621FDE0728531A96BE9586C59C94FC27DDF56CB798B130954BFB3A04DE24EB","18413A449ED2384EE801107D3A42DD6DFAD488C76FA82030681E8D78B7711711"
"DATA/LOCSE/SE.AV","Changed","32243712","31973376","D9241DA648304D89CF4AFAC09CC44200E065B7A2B1C17471DED57D5647E3F8C0","B76A9630A8733CE7CF55AA2F27D02B8B90E8269356A08B98245988C901EC46AA"
"DATA/LOCSE/SE1.LSC","Identical","97006","97006","964B5C735C8F4477A8D7B14A6ED87BD0F9280C2F11A175C399A9404C59EA5CD1","964B5C735C8F4477A8D7B14A6ED87BD0F9280C2F11A175C399A9404C59EA5CD1"
"DATA/LOCSE/SE1.TRK","Changed","5799936","5873664","F5BAE18D84745B13E7561B6E6DC6AC1D88017C36D97438EA455AB9EC2CE73207","4B435FEDD35B5D9D6BB7BFD64286FCEFC3AB06EA00AE3D98D98A36AC5E15B4C7"
"DATA/LOCSE/SE2.LSC","Identical","113219","113219","30254D866AF2E46C68B2784AD43ECBB0BBE9BF8F0F5ED8E1AE6DFA2D1C6AF976","30254D866AF2E46C68B2784AD43ECBB0BBE9BF8F0F5ED8E1AE6DFA2D1C6AF976"
"DATA/LOCSE/SE2.TRK","Changed","5308416","5332992","EC19EC56698DBD23D927117BFFD56B42173301FD58425180FABFB9C8A40EB459","7EDC898EB3CF5A879623EB9A874C50DD0F6A67011D9974F1DCC12EB495798388"
"DATA/OPENING/EAGAMES.FLM","Changed","2703360","2703360","6B1F593F13C27580237FCABD9035C70DC1EA05901764CB5855C45292ECCA0146","68FE5E1EB4C99D110A4D09E2280BF81162DFD9E8AB41308C1A865D2A0538A67C"
"DATA/OPENING/INTRO.FLM","Changed","20840448","27697152","80CAED69245B23B98817F751E831B5485C36A0D33885FC94C4A46BD6E7455216","434D030C12850E410474B997A224F45CAF5BAA2A8010FEEDBE22F6DBA30CC491"
"DATA/OPENING/MC_STATE.LSC","Changed","29972","82466","A5AEBB6907B7B07350B9CB52D3A7669000B02A553BB64138351720480E7D7E04","FF3E9B61B7011F43DF776EDEC297ECA0E37D3BE75C919FB6626B9D2BD020C4FC"
"DATA/OPENING/SPLASH1.LSC","Changed","112655","88150","CEFFD4E375D0FB161BFF8E5847335F5D6802DA2F98658291089661C3387C7F61","02B22B259C608D7D3B093FC6E43ADFA085E5BDC18F97A1C3083B0B2AFDA57A34"
"GLBLDATA.PS2","Changed","34086912","28803072","FE16E1E314E0A3069322ABC8C8AC731C13ED5064D6AE3349472BCBFBB4571ABE","5F29CCE8F515F2F8351F921672A0041CB2FFA1FFD50D3FF3EE761362F3A920ED"
